v1 v2 CN AA
15312 27590 24 5.4364760973809485
292 8167 11 2.6185885370221356
35522 35794 10 2.52301361140778
22817 32941 6 1.5867032561973713
17372 26999 22 5.344843069371165
2492 17481 3 0.5671984654677755
4144 46588 9 2.368757176645426
24096 40492 1 0.1465803380850357
3653 40763 15 2.954410708121345
1128 2054 1 0.23782951347935782
9954 40869 3 0.6448489003202437
4534 4543 28 7.614765779487335
14283 44755 12 2.5175790639426134
8675 23195 5 1.1265302233581131
5585 6991 3 0.7422418632393976
29812 32525 23 4.838729217037804
24983 26431 0 0
6221 27064 34 7.618289062412119
12573 20320 6 1.4408500937433475
22262 22611 61 12.34979588701718
1615 38731 9 1.7022060370655814
21722 35582 0 0
30963 33037 13 2.8425974722714167
24821 26673 15 3.409414942916079
714 726 9 2.300776053412949
24822 37493 1 0.3284587387530511
26432 27189 38 8.18720343940671
2241 8505 1 0.19175691638021128
6827 8581 6 1.2573415149162412
6220 7661 16 3.6207838880407706
4791 18365 3 0.7519619745952628
11725 11727 12 3.0393255991993295
2081 12260 0 0
42562 49325 1 0.30341307554227914
423 11184 93 21.03996248643926
7365 8090 13 2.5164912590659365
17760 37700 52 11.42148971137887
37532 51686 0 0
3866 3929 24 5.639492771538082
5225 18202 3 0.5833749418405716
21159 38101 3 0.7743379255723946
24760 33992 12 2.7647403330736697
84 7317 14 3.0599891295354587
19159 26332 42 8.40557461999856
25605 27249 15 3.1976140123341175
1103 5119 21 4.27068852279474
31889 36788 14 3.5427996979268292
6735 27206 17 3.909072466000885
19856 30304 5 1.3195694490625987
3867 14878 0 0
2942 5694 2 0.5205056287538256
25785 29443 12 2.8838902404715174
10796 36118 3 0.7647250138404027
33635 40472 10 2.8347723788642236
2378 43877 1 0.7213475204444817
20126 22298 30 5.772727291103378
20653 31021 10 2.9854486172319996
7211 13822 15 3.4403580658925037
18935 28939 8 2.57875203467244
17046 17050 6 1.7886432020635703
24104 31349 9 2.538317036636235
28530 39482 12 2.7758890370667264
821 4222 6 1.5649369095547714
14885 27406 64 13.141108284041664
20246 33545 23 4.885472314107924
8923 11985 23 5.0801623196282275
9455 18941 3 0.7560087112487577
40477 56855 5 1.5266617495527626
3909 4960 50 10.6887205135279
9202 32338 2 0.4841532686126954
9481 24324 0 0
7727 30089 3 0.8890919249893129
26035 27210 21 4.434274312283463
11788 14069 1 0.23617733727628992
24109 25185 3 0.8870144229399634
1602 11347 4 1.0042025519164526
20170 30833 6 1.3366467587423443
19041 34839 11 2.998274238378601
16586 34514 69 14.427162461402652
7645 9686 6 1.1555314849973366
7248 11734 15 3.5501395707946766
654 7937 0 0
5200 5915 0 0
6118 12610 41 8.812706881707358
13937 26841 15 3.471255733642604
8419 16038 16 3.6000308121728355
15212 20209 9 1.9083042465987292
21980 27048 18 3.5599811465596076
10105 30229 1 0.22630370469475658
22547 25142 2 0.9888939068635356
24436 36073 14 2.9543546837601182
5088 19682 7 1.276044004136526
11022 11382 21 4.3713431406521215
554 59333 1 0.30692767643013485
8987 51841 1 0.23537745555238682
23069 32701 6 1.4096720517112376
21927 33613 17 4.460586036845274
5651 14203 15 3.9912919532255247
47120 48604 4 1.1929867373478822
27041 27525 25 5.093028555065771
7211 7248 46 11.596328592917196
6004 6007 27 7.732109551911917
3589 11786 6 1.276935011310683
2809 6577 16 4.274093796882304
9093 9095 6 1.6262461488386197
5872 43517 3 0.7728755907701746
37135 40511 1 0.15834415083973816
214 13326 0 0
6313 15671 25 5.68296360453054
9230 9914 0 0
18338 34819 4 0.9062833885898722
5212 7854 7 1.5405909093061232
25286 25293 21 4.295083594514773
8336 9108 13 3.8913696511687346
17822 28627 0 0
35945 39570 7 1.6031781651337367
15929 24323 1 0.2473379469500514
5187 12910 4 0.7351494982651712
6047 6049 0 0
14283 34858 45 9.483653226031906
7530 10270 2 0.39108065035161726
8634 13462 54 11.248464156880868
8615 19544 8 1.5861283151752867
1996 30886 21 4.081381303777872
12039 24146 45 9.789065401920084
23595 30441 0 0
5535 17580 5 1.4205571613091537
19487 20347 17 3.4258866947185003
12040 26674 15 3.1820152160825304
14367 37090 2 0.4881154444807366
16301 21173 7 1.6090125825685326
16330 25129 33 6.886994986498649
7740 24760 18 4.332731351719681
25129 31884 28 5.866028517897769
25590 37635 0 0
3705 15568 45 9.35448759283577
30312 38212 6 1.6696319054038895
30967 31742 24 6.062330982574697
37677 48150 3 0.9290646540275644
1332 9269 7 2.00585540932878
29528 29531 6 1.3527608496459735
4608 53351 0 0
11318 12974 25 4.998072890773172
13932 25080 0 0
18376 20329 22 4.67124634232084
20064 30023 35 7.483951833617402
1612 54788 4 1.2040972837700343
8418 27395 8 1.9177189575763025
834 41179 20 4.27375266339844
3875 14884 53 10.90783739297625
8397 12321 8 1.4843869318018836
49028 49034 6 1.9412143836790077
1831 1845 7 1.8576073212483855
18920 22199 13 2.7151861948947493
5034 10329 3 0.8328295907792722
3679 17233 11 2.094665609257581
8440 16943 3 0.712989563114101
24282 25858 3 1.6583813286856801
8624 8667 21 3.943481651211981
25125 26324 20 4.301769022073543
5054 17727 6 1.4601141627187748
5873 6265 5 1.098218532925182
43817 43818 0 0
4140 13494 14 2.515628947879773
18544 24644 17 3.8231527660248665
20962 32392 28 5.994816748279577
11837 28906 2 0.3755222060337102
17047 24770 21 5.115407235976223
20906 37967 5 1.3109842759499135
5455 6155 6 1.221350088228911
14686 16284 8 2.0680211457588094
3544 6712 1 0.29401410379520604
18874 36520 1 0.26269731101386307
17380 48022 0 0
2492 7611 31 6.1914153471470135
3546 14993 3 0.7714208475471838
19112 26877 2 0.43463789638644446
3603 20759 19 3.9074660804512784
8454 10988 1 0.3898712452512801
27534 33722 23 4.999450809353435
1604 1630 6 1.382199252225472
13474 25316 8 1.7830393615308977
15110 23656 35 7.769698977909485
33661 34677 40 9.018020372293885
9290 27129 5 0.9512068933891764
1506 41101 5 1.2866871712677725
13153 23324 40 9.590168124574118
4420 15618 13 3.5196666406322175
9128 13851 11 2.4588075220836254
31056 34510 28 5.675685080808099
28405 41010 3 0.8271236124100634
34207 34208 2 0.614759608944538
26415 40442 35 7.248306630303179
24305 26159 27 5.785195457907342
52353 52354 0 0
8703 25757 77 14.89278324754427
46171 52405 0 0
2984 13857 17 3.8157666728367396
3945 4950 22 5.8286995491741225
4879 38539 4 0.9915882002421572
12709 17588 15 3.7227344080931237
24573 26626 62 12.604479890503656
7438 7491 2 0.5202073638188942
6505 27000 12 2.5676469731559024
27253 27500 11 2.379849163035572
12498 27988 8 1.7797620420492088
2589 6907 13 2.895019208219494
18600 37604 3 0.6699740669430023
20029 24646 25 5.3137830834616
17540 18076 3 0.7328548307374227
10460 42993 20 4.985804435512334
12176 23402 1 0.21667906533553166
27805 40765 14 3.6920556998144036
14270 31255 33 6.850671032920395
15569 34369 37 7.3155745650032
16567 36584 5 0.9930812783865179
6229 12835 4 1.2721506202250557
22904 45721 2 0.6927848262175276
6503 12883 0 0
